Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Pourc,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
Frangelico,Frangelico With Espresso Cups,"24,95","27,45","-2,5","-9,1%",750,750,Boisson aux fruits (noisette...,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11098761-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/169441/images/full.jpeg
Freixenet Cordon Negro Brut,Freixenet Cordon Negro Brut Cava,"14,8","13,95","0,85","6,1%",750,750,Vin mousseux,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00088591-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/216945/images/full.jpeg
Freixenet Cordon Rosado,Freixenet Cordon Rosado,"14,8","9,95","4,85","48,7%",750,750,Vin mousseux rosé,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00352369-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217059/images/full.jpeg
Freixenet Mia,Freixenet Mia White,"13,05","9,95","3,1","31,2%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12478976-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/269605/images/full.jpeg
Frescobaldi Castello di Pomino 2013,Frescobaldi Castello Di Pomino Pomino Bianco 2013,20,"19,95","0,05","0,3%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00065086-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/65086/images/full.jpeg
Frontera Cabernet-Sauvignon,Concha Y Toro Frontera Cabernet Sauvignon,"9,95","7,9","2,05","25,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00116426-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/116426/images/full.jpeg
Fuligni Brunello-di-Montalcino 2007,Fuligni Brunello Di Montalcino 2007,"88,75","49,95","38,8","77,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11055752-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/245225/images/full.jpeg
Fun Beaujolais,Beaujolais Fun,"15,3","9,15","6,15","67,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11459482-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/228155/images/full.jpeg
Fuzion Shiraz / Malbec,Fuzion Shiraz Malbec,"10,05","8,25","1,8","21,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10394955-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/83188/images/full.jpeg
Gabbiano Chianti,Gabbiano Chianti DOCG,14,"13,95","0,05","0,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10754279-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/78006/images/full.jpeg
Gabbiano Chianti,Gabbiano Chianti Classico DOCG,14,"16,95","-2,95","-17,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10754279-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/78006/images/full.jpeg
Gaja Sito Moresco 2012,Gaja Sito Moresco 2012,62,"61,95","0,05","0,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10230926-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/976043/images/full.jpeg
Gaja Sori Tildin 2009,Gaja Sorì Tìldìn 2009,450,"549,95","-99,95","-18,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11988333-1?&scl=1,
Gallo White Zinfandel,E & J Gallo White Zinfandel,"11,8","9,44","2,36","25,0%",750,750,Vin rosé,Rosé Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00285767-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/285767/images/full.jpeg
Gallo White Zinfandel,E & J Gallo White Zinfandel,"21,45","17,45",4,"22,9%",1500,1500,Vin rosé,Rosé Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00308460-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/308460/images/full.jpeg
Gato Negro Cabernet-Sauvignon,Gato Negro Cabernet Sauvignon,"10,8","8,9","1,9","21,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00188193-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/188193/images/full.jpeg
Gautier V.S.,Cognac Gautier VS,"41,75",43,"-1,25","-2,9%",750,750,Cognac,Cognac / Armagnac,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00063461-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/384867/images/full.jpeg
Gazela Vinho Verde,Sogrape Gazela Vinho Verde,"10,9","8,94","1,96","21,9%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10667351-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/141432/images/full.jpeg
Gazela Vinho Verde,Gazela Vinho Verde Rose,"10,9","9,44","1,46","15,5%",750,750,Vin blanc,Rosé Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10667351-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/141432/images/full.jpeg
George Wyndham Founder's Reserve Shiraz,George Wyndham Founder's Reserve Shiraz,"21,8","19,95","1,85","9,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12073961-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/107904/images/full.jpeg
Georges Duboeuf Beaujolais,Georges Duboeuf Beaujolais,"15,5","12,95","2,55","19,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00212480-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/212480/images/full.jpeg
Georges Duboeuf Beaujolais-Villages,Georges Duboeuf Beaujolais-Villages,"16,5","13,95","2,55","18,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00122077-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/122077/images/full.jpeg
Georges Duboeuf Brouilly,Georges Duboeuf Beaujolais Brouilly,"20,25","17,95","2,3","12,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00070540-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/213934/images/full.jpeg
Gilbey's,Gilbey's London Dry Gin,"43,5","57,15","-13,65","-23,9%",1750,1750,Dry gin,Gin,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10456861-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/67116/images/full.jpeg
Giuseppe Quintarelli Rosso Ca'del Merlo 2004,Giuseppe Quintarelli Rosso Ca' del Merlo 2004,83,"99,95","-16,95","-17,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10960478-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/958595/images/full.jpeg
Glenmorangie Taghta,Glenmorangie the Taghta,157,"176,95","-19,95","-11,3%",750,750,Whisky écossais,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12505129-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/406207/images/full.jpeg
Global 94 %,Global Alcool 94%,"64,25","96,55","-32,3","-33,5%",1140,1140,Alcool,Alcohol,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12209012-1?&scl=1,
Gloria Ferrer Sonoma Brut,Gloria Ferrer Sonoma Brut,"24,55","27,95","-3,4","-12,2%",750,750,Vin mousseux,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10839184-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/192898/images/full.jpeg
Gloria Reserva 2011,Gloria Reserva 2011,"18,4","16,95","1,45","8,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11156297-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/146522/images/full.jpeg
Golden Wedding,Golden Wedding Whisky,"32,75","38,25","-5,5","-14,4%",1140,1140,Whisky canadien,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11551713-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217083/images/full.jpeg
Goldschlager,Goldschlager,"31,75","28,95","2,8","9,7%",750,750,Liqueur (cannelle),Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00343145-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/343145/images/full.jpeg
Gonzalez Byass Tio Pepe Extra Dry,Tio Pepe Extra Dry Fino Sherry,"18,7","16,95","1,75","10,3%",750,750,Xérès,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00242669-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/231829/images/full.jpeg
Gordon's,Gordon's Dry Gin,"12,1","14,45","-2,35","-16,3%",375,375,Dry gin,Gin,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00003913-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/227082/images/full.jpeg
Gordon's,Gordon's Dry Gin,"20,7","26,45","-5,75","-21,7%",750,750,Dry gin,Gin,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00001040-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/1040/images/full.jpeg
Gordon's,Gordons Gin,"30,75","38,15","-7,4","-19,4%",1140,1140,Dry gin,Gin,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11584072-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217166/images/full.jpeg
Gordon's,Gordon's Dry Gin,"49,5","57,75","-8,25","-14,3%",1750,1750,Dry gin,Gin,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00111021-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/111021/images/full.jpeg
Gosset Grande Réserve Brut,Gosset Grande Réserve Brut Champagne,"68,75","77,95","-9,2","-11,8%",750,750,Champagne,Champagne,Vin,http://s7d9.scene7.com/is/image/SAQ/10839619-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/344945/images/full.jpeg
Graffigna Centenario Pinot Grigio Reserve,Graffigna Centenario Reserve Pinot Grigio,"13,95","13,45","0,5","3,7%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11557445-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/164756/images/full.jpeg
Graffigna Centenario Shiraz Reserve,Graffigna Centenario Reserve Shiraz,"13,95","13,95",0,"0,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11675505-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/164731/images/full.jpeg
Graham's Late Bottled Vintage,Graham's Late Bottled Vintage Port,"19,95","16,95",3,"17,7%",750,750,Porto,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00191239-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/191239/images/full.jpeg
Graham's Vintage 2011,Graham's Vintage Port 2011,"97,25",95,"2,25","2,4%",750,750,Porto,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11220800-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/362269/images/full.jpeg
Gran Patrón Burdeos Anejo,Gran Patrón Burdeos Añejo Tequila,700,700,0,"0,0%",750,750,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12132191-1?&scl=1,
Gran Patrón Platinum silver,Gran Patron Platinum Silver Tequila,"350,25","349,95","0,3","0,1%",750,750,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12132211-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/16063/images/full.jpeg
Grand Marnier,Grand Marnier,"23,6","23,95","-0,35","-1,5%",375,375,Liqueur d'agrumes,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00012195-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/12195/images/full.jpeg
Grand Marnier,Grand Marnier,"43,75","44,95","-1,2","-2,7%",750,750,Liqueur d'agrumes,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00001784-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/1784/images/full.jpeg
Grand Marnier,Grand Marnier,"63,25","64,95","-1,7","-2,6%",1140,1140,Liqueur d'agrumes,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10512190-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/605600/images/full.jpeg
Grand Marnier Cuvée du Centenaire,Grand Marnier Cuvée Du Centenaire 100Th,"120,75","129,9","-9,15","-7,0%",750,750,Liqueur d'agrumes,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00108704-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/108704/images/full.jpeg
Grand Marnier Louis-Alexandre,Grand Marnier Louis-Alexandre,"70,25","69,95","0,3","0,4%",750,750,Liqueur d'agrumes,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00525261-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/525261/images/full.jpeg
Grand Sud Merlot,Grand Sud Merlot,"12,95","11,95",1,"8,4%",1000,1000,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10543287-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/171314/images/full.jpeg
Gray Fox Cabernet-Sauvignon,Gray Fox Cabernet Sauvignon,10,"6,95","3,05","43,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10669365-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/527515/images/full.jpeg
Gray Fox Chardonnay,Gray Fox Chardonnay,10,"8,44","1,56","18,5%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10669058-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/614271/images/full.jpeg
Grey Goose,Grey Goose Vodka,"24,95","25,95",-1,"-3,9%",375,375,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10799629-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/604934/images/full.jpeg
Grey Goose,Grey Goose Vodka,"46,75","49,95","-3,2","-6,4%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11025617-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/95935/images/full.jpeg
Grey Goose,Grey Goose Vodka,"110,5","109,95","0,55","0,5%",1750,1750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11036156-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/604868/images/full.jpeg
Grey Goose Cherry Noir,Grey Goose Cherry Noir,"46,75","49,95","-3,2","-6,4%",750,750,Vodka aromatisée (cerise),Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12260475-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/313007/images/full.jpeg
Grey Goose L'Orange,Grey Goose Vodka L'Orange,"46,75","49,95","-3,2","-6,4%",750,750,Vodka aromatisée (orange),Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11036172-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/574152/images/full.jpeg
Grey Goose La Poire,Grey Goose La Poire Vodka,"46,25","49,95","-3,7","-7,4%",750,750,Vodka aromatisée (poire),Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12051331-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/116327/images/full.jpeg
Grey Goose VX,Grey Goose Vx,"100,25",100,"0,25","0,3%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12434957-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/397588/images/full.jpeg
Greywacke Sauvignon Blanc 2013,Greywacke Sauvignon Blanc 2013,"27,75","24,95","2,8","11,2%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12371861-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/164228/images/full.jpeg
Gunderloch Fritz's Riesling 2013,Gunderloch Fritz's Riesling 2013,"15,65","13,95","1,7","12,2%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11389015-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/216366/images/full.jpeg
Hacker-Pschorr Weisse,Hacker Pschorr Weisse Bier,"3,2","3,45","-0,25","-7,2%",500,500,Bière blanche de type Ale,Ale,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11607351-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/247486/images/full.jpeg
Hamilton Russel Vineyard Pinot Noir 2012,Hamilton Russell Pinot Noir 2012,"47,25","44,95","2,3","5,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11155737-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/999516/images/full.jpeg
Hardys Stamp Chardonnay / Sémillon,Hardys Stamp Series Chardonnay Semillon,"13,15","9,9","3,25","32,8%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10845971-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/335638/images/full.jpeg
Harveys Bristol Cream,Harveys Bristol Cream Sherry,"14,85","15,35","-0,5","-3,3%",750,750,Xérès,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00215483-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/215483/images/full.jpeg
Havana Club Añejo 3 Años,Havana Club Anejo 3 Anos,"24,25","26,95","-2,7","-10,0%",750,750,Rhum blanc,Rum,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12275124-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/337667/images/full.jpeg
Havana Club Anejo Reserva,Havana Club Anejo Reserva Rum,"26,3","27,95","-1,65","-5,9%",750,750,Rhum brun,Rum,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00443903-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/443903/images/full.jpeg
Havana Club Anejo Reserva,Havana Club Anejo Reserva,"36,75","39,95","-3,2","-8,0%",1140,1140,Rhum brun,Rum,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11480054-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217422/images/full.jpeg
Hecht & Bannier Saint-Chinian 2011,Hecht & Bannier Saint Chinian 2011,"25,95","25,95",0,"0,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10507323-1?&scl=1,
Hendrick's,Hendrick's Gin,"46,25","49,95","-3,7","-7,4%",750,750,Dry gin,Gin,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10254012-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/637504/images/full.jpeg
Henkell,Henkell Rose,"15,4","14,95","0,45","3,0%",750,750,Vin mousseux rosé,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11369111-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/203125/images/full.jpeg
Henkell Trocken,Henkell Trocken,"16,25","14,95","1,3","8,7%",750,750,Vin mousseux,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00122689-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/122689/images/full.jpeg
Henkes,Henkes Melon Liqueur,"24,5","19,95","4,55","22,8%",750,750,Liqueur de fruit (melon),Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00177956-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/177956/images/full.jpeg
Hennessy Black,Hennessy Black Cognac,83,"81,09","1,91","2,4%",750,750,Cognac,Cognac / Armagnac,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11459394-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/179457/images/full.jpeg
Hennessy V.S.,Hennessy VS Cognac,65,"61,15","3,85","6,3%",750,750,Cognac,Cognac / Armagnac,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00008284-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/8284/images/full.jpeg
Henri Bourgeois Les Baronnes,Henri Bourgeois Les Baronnes Sancerre,"26,85","24,95","1,9","7,6%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00303511-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/542548/images/full.jpeg
Henri Gouges Nuits-Saint-George 2011,Domaine Henri Gouges Nuits-Saint-Georges Villages 2011,"48,25",55,"-6,75","-12,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12026961-1?&scl=1,
Henriot Brut,Henriot Brut Rosé Champagne,"74,5","79,95","-5,45","-6,8%",750,750,Champagne rosé,Champagne,Vin,http://s7d9.scene7.com/is/image/SAQ/10839635-1?&scl=1,
Hpnotiq,Hpnotiq Liquor,"18,2","19,95","-1,75","-8,8%",375,375,Boisson aux fruits (fruit ex...,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11253708-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/122952/images/full.jpeg
Hpnotiq,Hpnotiq Liquor,"33,25","34,95","-1,7","-4,9%",750,750,Boisson aux fruits (fruit ex...,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10540529-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/600981/images/full.jpeg
Iceberg,Iceberg Vodka,"23,05","26,35","-3,3","-12,5%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00400754-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/400754/images/full.jpeg
Iceberg,Iceberg Vodka,"35,25","39,15","-3,9","-10,0%",1140,1140,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11582958-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/227413/images/full.jpeg
Irish Mist,Irish Mist,"34,5","34,95","-0,45","-1,3%",750,750,Liqueur,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00020768-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/20768/images/full.jpeg
Isle of Jura Superstition Scotch Single Malt,Jura Superstition Single Malt Scotch Whisky,75,"65,95","9,05","13,7%",750,750,Whisky écossais,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10816927-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/38927/images/full.jpeg
J. Lohr Seven Oaks Cabernet-Sauvignon,J. Lohr Seven Oaks Cabernet Sauvignon,24,"22,95","1,05","4,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00313825-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/656561/images/full.jpeg
J.J. McWilliam Shiraz / Cabernet,Jj Mcwilliam Shiraz / Cabernet,"10,95","9,94","1,01","10,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10915001-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/16741/images/full.jpeg
J.L. Chave Sélection Hermitage Blanche 2010,J.L. Chave Selection Blanche Hermitage Blanc 2010,"72,5",79,"-6,5","-8,2%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12062111-1?&scl=1,
J.Lohr Hilltop Cabernet-Sauvignon 2011,J. Lohr Hilltop Vineyard Cabernet Sauvignon 2011,42,"40,95","1,05","2,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11392783-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/686584/images/full.jpeg
Jack Daniel's Single Barrel Tennessee,Jack Daniel's Single Barrel Whiskey,"55,75","54,95","0,8","1,5%",750,750,Whiskey américain,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00480616-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/480616/images/full.jpeg
Jack Daniel's Tennessee Honey,Jack Daniel's Tennessee Honey,"16,95","17,5","-0,55","-3,1%",375,375,Liqueur,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11769384-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/276568/images/full.jpeg
Jack Daniel's Tennessee Honey,Jack Daniel's Tennessee Honey,"45,5","44,95","0,55","1,2%",1140,1140,Liqueur,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12402605-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/380899/images/full.jpeg
Jack Daniel's Winter Jack,Jack Daniels Winter Jack,"24,2","24,05","0,15","0,6%",750,750,Cocktail au spiritueux,Premixed Cocktails,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12133193-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/353359/images/full.jpeg
Jacob's Creek Moscato,Jacob's Creek Moscato,"13,95","11,95",2,"16,7%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12206891-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/265157/images/full.jpeg
Jacob's Creek Shiraz,Jacob's Creek Shiraz,"15,55",12,"3,55","29,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00548644-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/548644/images/full.jpeg
Jacopo Poli Grappa Cleopatra Amarone Oro,Jacopo Poli Cleopatra Amarone Oro Grappa,73,"80,95","-7,95","-9,8%",700,700,Grappa,Eau-de-Vie,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11997694-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/367664/images/full.jpeg
Jacquart Brut Mosaïque,Jacquart Mosaïque Brut Champagne,45,"47,95","-2,95","-6,2%",750,750,Champagne,Champagne,Vin,http://s7d9.scene7.com/is/image/SAQ/12034216-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/664672/images/full.jpeg
Jägermeister,Jagermeister,"15,7","14,6","1,1","7,5%",375,375,Liqueur d'herbe,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12470018-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/61408/images/full.jpeg
