Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Pourc,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
Château Haut-Surget 2012,Château Haut-Surget 2012,"30,25","27,95","2,3","8,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00913137-1?&scl=1,
Château Ksara Le Prieuré 2011,Chateau Ksara Le Prieuré 2011,"14,9","13,95","0,95","6,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00927848-1?&scl=1,
Château l’Église-Clinet 2009,Château L'Église-Clinet 2009,685,"684,85","0,15","0,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11381321-1?&scl=1,
Château l’Église-Clinet 2009,Château L'Église-Clinet 2009,685,"684,85","0,15","0,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11381321-1?&scl=1,
Château L’Évangile 2010,Château L'Évangile 2010,450,"439,95","10,05","2,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11519351-1?&scl=1,
Château La Couspaude 2009,Château La Couspaude 2009,91,"88,85","2,15","2,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11378834-1?&scl=1,
Château la Croix de Gay 2010,Château La Croix de Gay 2010,50,"49,95","0,05","0,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11520706-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/259150/images/full.jpeg
Château La Fleur de Gay 2010,Château La Fleur de Gay 2010,146,"149,95","-3,95","-2,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11520474-1?&scl=1,
Château La Gaffelière 2011,Château La Gaffelière 2011,84,"95,85","-11,85","-12,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11760646-1?&scl=1,
Château La Garde 2010,Château La Garde 2010,46,"36,75","9,25","25,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11617170-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/682617/images/full.jpeg
Château La Lagune 2010,Château La Lagune 2010,100,"108,85","-8,85","-8,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11521848-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/259606/images/full.jpeg
Château La Mission Haut-Brion 2006,Château La Mission Haut-Brion 2006,865,"499,75","365,25","73,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10857817-1?&scl=1,
Château La Mission Haut-Brion 2007,Château La Mission Haut-Brion 2007,"532,25","379,75","152,5","40,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11025393-1?&scl=1,
Château La Mission Haut-Brion 2010,Château La Mission Haut-Brion 2010,1450,"1545,95","-95,95","-6,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11519553-1?&scl=1,
Château La Tour Carnet 2010,Château La Tour Carnet 2010,54,"59,85","-5,85","-9,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11571706-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/259986/images/full.jpeg
Château Lafleur 2010,Château Lafleur 2010,1625,"1594,95","30,05","1,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11521688-1?&scl=1,
Château Lafon-Rochet 2010,Château Lafon-Rochet 2010,76,"84,85","-8,85","-10,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11623318-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/257295/images/full.jpeg
Château Lagrange 2009,Château Lagrange 2009,94,"98,85","-4,85","-4,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11395677-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/199372/images/full.jpeg
Château Lalande-Borie 2010,Château Lalande-Borie 2010,"40,75","39,95","0,8","2,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12347087-1?&scl=1,
Château Lamothe de Haux 2012,Château Lamothe de Haux 2012,"21,7","17,95","3,75","20,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00967307-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/641555/images/full.jpeg
Château Lanessan 2010,Château Lanessan 2010,"28,5","27,85","0,65","2,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11609743-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/254284/images/full.jpeg
Château Langoa Barton 2010,Château Langoa Barton 2010,111,"122,95","-11,95","-9,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11520933-1?&scl=1,
Château Le Gay 2009,Château Le Gay 2009,"182,5","174,85","7,65","4,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11378869-1?&scl=1,
