Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité),Inventaire (valeur)
119370,Lakefront New Grist Gluten-Free,Beer,Specialty,"USA, Wisconsin",2130,14.4,4507,9599910,"6 490 080,00 $"
326728,Oyster Bay Chardonnay,Wine,White Wine,"New Zealand, Marlborough",750,18.95,12792,9594000,"21 682 440,00 $"
350629,Forty Creek Barrel Select Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",1140,39.54,8399,9574860,"33 209 646,00 $"
69351,Imperial Apera,Wine,Fortified Wines,"Canada, Region Not Specified",750,7.95,12757,9567750,"10 141 815,00 $"
431239,Faxe Premium Lager,Beer,Lager,"Denmark, Region Not Specified",500,2.0,19124,9562000,"3 824 800,00 $"
413005,Lake of Bays 10 Point IPA,Beer,Ale,"Canada, Ontario",473,2.95,20186,9547978,"5 954 870,00 $"
328526,Jackson-Triggs Chardonnay,Wine,White Wine,"Canada, Ontario",1500,17.95,6351,9526500,"11 400 045,00 $"
391862,Okanagan Premium Dry Cider,Ciders,Cider,"Canada, British Columbia",473,2.75,20122,9517706,"5 533 550,00 $"
191874,Corona Extra,Beer,Lager,"Mexico, Region Not Specified",473,2.6,20062,9489326,"5 216 120,00 $"
407338,Crabbie's Fruits Black Cherry,Ready-to-Drink/Coolers,Coolers,"United Kingdom, England",1320,9.94,7157,9447240,"7 114 058,00 $"
697334,Bacardi Breezer Island Pineapple,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,7149,9436680,"6 391 206,00 $"
101717,Brights Entre-Lacs White,Wine,White Wine,"Canada, Region Not Specified",4000,33.95,2359,9436000,"8 008 805,00 $"
370882,Jack Daniel's Country Cocktail Lynchburg,Ready-to-Drink/Coolers,Coolers,"USA, Region Not Specified",1776,12.95,5311,9432336,"6 877 745,00 $"
338400,Lake of Bays Crosswind Pale Ale,Beer,Ale,"Canada, Ontario",473,2.85,19891,9408443,"5 668 935,00 $"
8144,Sir Perry Pear Cider,Ciders,Cider,"United Kingdom, England",500,3.0,18781,9390500,"5 634 300,00 $"
321844,Smirnoff Premium Mixed Drinks Cranbrry Lime,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,7109,9383880,"7 066 346,00 $"
308460,E & J Gallo White Zinfandel,Wine,Rosé Wine,"USA, Region Not Specified",1500,17.45,6250,9375000,"10 906 250,00 $"
411546,Girls' Night Out Coconut Lime Calypso,Wine,Specialty Wines,"Canada, Region Not Specified",1500,12.95,6249,9373500,"7 467 555,00 $"
242545,Great Lakes Canuck Pale Ale,Beer,Ale,"Canada, Region Not Specified",473,2.65,19766,9349318,"5 237 990,00 $"
223529,Appleton Estate V / X,Spirits,Rum,"Jamaica, Region Not Specified",1140,41.45,8187,9333180,"32 297 715,00 $"
409367,Lindemans Cawarra Shiraz Cabernet,Wine,Red Wine,"Australia, Region Not Specified",1500,18.95,6221,9331500,"11 788 795,00 $"
413310,Harry Brompton's London Ice Tea,Ready-to-Drink/Coolers,Coolers,"United Kingdom, England",1320,11.3,7057,9315240,"7 974 410,00 $"
288506,Amsterdam Boneshaker,Beer,Ale,"Canada, Ontario",2130,13.95,4353,9271890,"6 072 435,00 $"
86512,Brights Maria Christina Red,Wine,Red Wine,"Canada, Region Not Specified",4000,34.95,2313,9252000,"8 083 935,00 $"
340380,Two Oceans Sauvignon Blanc,Wine,White Wine,"South Africa, Region Not Specified",750,10.25,12308,9231000,"12 615 700,00 $"
410084,Woody's Cosmopolitan Cocktail,Ready-to-Drink/Coolers,Coolers,"United Kingdom, England",1320,9.85,6978,9210960,"6 873 330,00 $"
216812,Bacardi Gold Rum,Spirits,Rum,"Puerto Rico, Region Not Specified",1140,39.25,8076,9206640,"30 890 700,00 $"
166033,Mike's Hard Lime,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,6974,9205680,"6 932 156,00 $"
