Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Diff. %,Volume SAQ,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,image SAQ,image LCBO
Bacardi Superior,Bacardi Superior Rum Pet,32.25,38,-5.75,-0.15,"1,14 L",1140,1140,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/334151/images/full.jpeg
Bacardi Superior,Bacardi Superior Rum,32.25,8,24.25,3.03,"1,14 L",1140,200,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/271338/images/full.jpeg
Bacardi Superior,Bacardi Superior Rum,32.25,109,-76.75,-0.7,"1,14 L",1140,3000,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/179283/images/full.jpeg
Bacardi Superior,Bacardi Superior Collectors Tins,32.25,25,7.25,0.29,"1,14 L",1140,750,Rhum blanc,Gift and Sampler Packs,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/342337/images/full.jpeg
Bacardi Superior,Bacardi Superior Collectable 150Th Tins.,32.25,25,7.25,0.29,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,
Ballantine's Scotch Blended,Ballantine's Finest Blended Malt Scotch Whisky,36.5,38,-1.5,-0.04,"1,14 L",1140,1140,Whisky écossais,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11405661-1,https://dx5vpyka4lqst.cloudfront.net/products/207662/images/full.jpeg
Ballantine's Scotch Blended,Ballantine's Blended Scotch Whisky,36.5,26,10.5,0.4,"1,14 L",1140,750,Whisky écossais,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11405661-1,https://dx5vpyka4lqst.cloudfront.net/products/1610/images/full.jpeg
Ballantine's Scotch Blended,Ballantine's Blended Scotch Whisky,36.5,14,22.5,1.61,"1,14 L",1140,375,Whisky écossais,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11405661-1,https://dx5vpyka4lqst.cloudfront.net/products/5041/images/full.jpeg
Ballantine's Scotch Blended,Ballantine's Finest Blended Malt Scotch Whisky,36.5,57,-20.5,-0.36,"1,14 L",1140,1750,Whisky écossais,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11405661-1,https://dx5vpyka4lqst.cloudfront.net/products/207670/images/full.jpeg
Beefeater,Beefeater London Dry Gin,33.75,26,7.75,0.3,"1,14 L",1140,750,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11405679-1,https://dx5vpyka4lqst.cloudfront.net/products/570/images/full.jpeg
