No,Nom,Année,URL,URL-image,Type,Pays,Volume,Prix txt,Prix
68,Anselmi San Vincenzo,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/anselmi-san-vincenzo/585422,http://s7d9.scene7.com/is/image/SAQ/585422-1,Vin blanc,Italie,750 ml,"17,40 $",17.4
69,Anselmo Mendes Muros Antigos Alvarinho 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/anselmo-mendes-muros-antigos-alvarinho-2013/11612555,http://s7d9.scene7.com/is/image/SAQ/11612555-1,Vin blanc,Portugal,750 ml,"21,40 $",21.4
70,Antinori Peppoli 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/antinori-peppoli-2012/10270928,http://s7d9.scene7.com/is/image/SAQ/10270928-1,Vin rouge,Italie,750 ml,"24,75 $",24.75
71,Antoine Arena Bianco Gentile 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/antoine-arena-bianco-gentile-2012/12024333,http://s7d9.scene7.com/is/image/SAQ/12024333-1,Vin blanc,France,750 ml,"45,25 $",45.25
72,Antoine Bonet Chardonnay / Viognier,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/antoine-bonet-chardonnay--viognier/635250,http://s7d9.scene7.com/is/image/SAQ/635250-1,Vin blanc,France,4 L,"53,75 $",53.75
73,Antoine Bonet Merlot,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/antoine-bonet-merlot/447334,http://s7d9.scene7.com/is/image/SAQ/447334-1,Vin rouge,France,4 L,"53,75 $",53.75
74,Antoine Moueix La Grande Chapelle Merlot / Cabernet-Sauvignon,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/antoine-moueix-la-grande-chapelle-merlot--cabernet-sauvignon/36012,http://s7d9.scene7.com/is/image/SAQ/36012-1,Vin rouge,France,750 ml,"14,95 $",14.95
75,Antoine Moueix Saint-Émilion Grand Cru,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/antoine-moueix-saint-emilion-grand-cru/11769739,http://s7d9.scene7.com/is/image/SAQ/11769739-1,Vin rouge,France,750 ml,"25,75 $",25.75
76,Antolino Brongo Cryomalus 2010,2010,http://www.saq.com/page/fr/saqcom/cidre-de-glace/antolino-brongo-cryomalus-2010/11002626,http://s7d9.scene7.com/is/image/SAQ/11002626-1,Cidre de glace,Canada,375 ml,"29,90 $",29.9
77,Antonin Rodet Coteaux Bourguignons,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/antonin-rodet-coteaux-bourguignons/11833622,http://s7d9.scene7.com/is/image/SAQ/11833622-1,Vin rouge,France,750 ml,"19,80 $",19.8
78,Aperol,Inconnue,http://www.saq.com/page/fr/saqcom/aperitif-a-base-de-gentiane/aperol/11639070,http://s7d9.scene7.com/is/image/SAQ/11639070-1,Apéritif à base de gentiane,Italie,750 ml,"20,25 $",20.25
79,Apothic Red,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/apothic-red/11315497,http://s7d9.scene7.com/is/image/SAQ/11315497-1,Vin rouge,États-Unis,750 ml,"16,80 $",16.8
80,Apothic White,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/apothic-white/11968172,http://s7d9.scene7.com/is/image/SAQ/11968172-1,Vin blanc,États-Unis,750 ml,"16,80 $",16.8
81,Appleton Estate 12 ans Extra,Inconnue,http://www.saq.com/page/fr/saqcom/rhum-ambre/appleton-estate-12-ans-extra/105742,http://s7d9.scene7.com/is/image/SAQ/105742-1,Rhum ambré,Jamaïque,750 ml,"37,25 $",37.25
82,Appleton Estate V/X,Inconnue,http://www.saq.com/page/fr/saqcom/rhum-ambre/appleton-estate-vx/177808,http://s7d9.scene7.com/is/image/SAQ/177808-1,Rhum ambré,Jamaïque,750 ml,"26,75 $",26.75
83,Appleton Estate V/X,Inconnue,http://www.saq.com/page/fr/saqcom/rhum-ambre/appleton-estate-vx/11464257,http://s7d9.scene7.com/is/image/SAQ/11464257-1,Rhum ambré,Jamaïque,"1,14 L","37,25 $",37.25
84,Aranleon Blés Crianza,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/aranleon-bles-crianza/10856427,http://s7d9.scene7.com/is/image/SAQ/10856427-1,Vin rouge,Espagne,750 ml,"15,70 $",15.7
85,Arboleda Cabernet-Sauvignon,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/arboleda-cabernet-sauvignon/10967434,http://s7d9.scene7.com/is/image/SAQ/10967434-1,Vin rouge,Chili,750 ml,"19,95 $",19.95
86,Ardbeg 10 ans Islay Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-single-malt/ardbeg-10-ans-islay-scotch-single-malt/560474,http://s7d9.scene7.com/is/image/SAQ/560474-1,Whisky écossais,Royaume Uni,750 ml,"92,75 $",92.75
87,Argiano Non Confunditur 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/argiano-non-confunditur-2012/11269401,http://s7d9.scene7.com/is/image/SAQ/11269401-1,Vin rouge,Italie,750 ml,"25,00 $",25.0
88,Argiano Rosso-di-Montalcino 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/argiano-rosso-di-montalcino-2012/10252869,http://s7d9.scene7.com/is/image/SAQ/10252869-1,Vin rouge,Italie,750 ml,"25,25 $",25.25
89,Argiolas Costera 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/argiolas-costera-2012/972380,http://s7d9.scene7.com/is/image/SAQ/972380-1,Vin rouge,Italie,750 ml,"19,65 $",19.65
90,Argyros Atlantis 2014,2014,http://www.saq.com/page/fr/saqcom/vin-blanc/argyros-atlantis-2014/11097477,http://s7d9.scene7.com/is/image/SAQ/11097477-1,Vin blanc,Grèce,750 ml,"18,55 $",18.55
91,Ariano Hermanos Tannat Reserve 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/ariano-hermanos-tannat-reserve-2010/10746527,http://s7d9.scene7.com/is/image/SAQ/10746527-1,Vin rouge,Uruguay,750 ml,"17,15 $",17.15
92,Arnaud Aucoeur Moulin à Vent 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/arnaud-aucoeur-moulin-a-vent-2011/12131585,http://s7d9.scene7.com/is/image/SAQ/12131585-1,Vin rouge,France,750 ml,"23,05 $",23.05
93,ArPePe Rosso di Valtellina 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/arpepe-rosso-di-valtellina-2012/12257997,http://s7d9.scene7.com/is/image/SAQ/12257997-1,Vin rouge,Italie,750 ml,"34,25 $",34.25
94,Arrowood Sonoma County Cabernet-Sauvignon 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/arrowood-sonoma-county-cabernet-sauvignon-2010/11089776,http://s7d9.scene7.com/is/image/SAQ/11089776-1,Vin rouge,États-Unis,750 ml,"44,25 $",44.25
95,Artadi Tempranillo 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/artadi-tempranillo-2012/12175991,http://s7d9.scene7.com/is/image/SAQ/12175991-1,Vin rouge,Espagne,750 ml,"19,60 $",19.6
96,Arte Benedicte Madiran Vieilles Vignes 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/arte-benedicte-madiran-vieilles-vignes-2010/10675116,http://s7d9.scene7.com/is/image/SAQ/10675116-1,Vin rouge,France,750 ml,"24,35 $",24.35
97,Artezin Zinfandel 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/artezin-zinfandel-2012/10754148,http://s7d9.scene7.com/is/image/SAQ/10754148-1,Vin rouge,États-Unis,750 ml,"24,50 $",24.5
98,Astica Merlot / Malbec,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/astica-merlot--malbec/637876,http://s7d9.scene7.com/is/image/SAQ/637876-1,Vin rouge,Argentine,750 ml,"9,85 $",9.85
99,Astica Sauvignon Blanc,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/astica-sauvignon-blanc/10394533,http://s7d9.scene7.com/is/image/SAQ/10394533-1,Vin blanc,Argentine,750 ml,"9,85 $",9.85
100,"Astrolabe, Pinot Noir Marlborough Province 2011",2011,http://www.saq.com/page/fr/saqcom/vin-rouge/astrolabe-pinot-noir-marlborough-province-2011/12144132,http://s7d9.scene7.com/is/image/SAQ/12144132-1,Vin rouge,Nouvelle-Zélande,750 ml,"29,80 $",29.8
101,Attems Pinot Grigio 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/attems-pinot-grigio-2013/11472409,http://s7d9.scene7.com/is/image/SAQ/11472409-1,Vin blanc,Italie,750 ml,"21,25 $",21.25
102,Attis Xión 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/attis-xion-2013/12485543,http://s7d9.scene7.com/is/image/SAQ/12485543-1,Vin blanc,Espagne,750 ml,"19,85 $",19.85
103,Au Bon Climat Chardonnay Santa Barbara 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/au-bon-climat-chardonnay-santa-barbara-2012/12455336,http://s7d9.scene7.com/is/image/SAQ/12455336-1,Vin blanc,États-Unis,750 ml,"29,10 $",29.1
104,Auchentoshan 12 ans Lowland Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-single-malt/auchentoshan-12-ans-lowland-scotch-single-malt/11156174,http://s7d9.scene7.com/is/image/SAQ/11156174-1,Whisky écossais,Royaume Uni,750 ml,"58,75 $",58.75
105,Aussières Rouge 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/aussieres-rouge-2012/12213100,http://s7d9.scene7.com/is/image/SAQ/12213100-1,Vin rouge,France,750 ml,"16,50 $",16.5
106,Austin Hope Syrah 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/austin-hope-syrah-2012/10744679,http://s7d9.scene7.com/is/image/SAQ/10744679-1,Vin rouge,États-Unis,750 ml,"45,50 $",45.5
107,Austin Hope Troublemaker,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/austin-hope-troublemaker/11509582,http://s7d9.scene7.com/is/image/SAQ/11509582-1,Vin rouge,États-Unis,750 ml,"25,00 $",25.0
108,Aveleda,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/aveleda/5322,http://s7d9.scene7.com/is/image/SAQ/5322-1,Vin blanc,Portugal,750 ml,"11,85 $",11.85
109,Azienda Agricola Camerlengo Antelio 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/azienda-agricola-camerlengo-antelio-2012/11951961,http://s7d9.scene7.com/is/image/SAQ/11951961-1,Vin rouge,Italie,750 ml,"25,60 $",25.6
110,Azienda Agricola Sottimano Bric del Salto 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/azienda-agricola-sottimano-bric-del-salto-2012/10856558,http://s7d9.scene7.com/is/image/SAQ/10856558-1,Vin rouge,Italie,750 ml,"21,60 $",21.6
111,Azienda Il Grillesino Ciliegiolo 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/azienda-il-grillesino-ciliegiolo-2013/12280695,http://s7d9.scene7.com/is/image/SAQ/12280695-1,Vin rouge,Italie,750 ml,"17,85 $",17.85
