No,Nom,Année,URL,URL-image,Type,Pays,Volume,Prix txt,Prix
6984,Hacienda Araucano Syrah Reserva,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/hacienda-araucano-syrah-reserva/11975073,http://s7d9.scene7.com/is/image/SAQ/11975073-1,Vin rouge,Chili,750 ml,"10,95 $",10.95
6985,Hacienda Monasterio Reserva 2007,2007,http://www.saq.com/page/fr/saqcom/vin-rouge/hacienda-monasterio-reserva-2007/11818481,http://s7d9.scene7.com/is/image/SAQ/11818481-1,Vin rouge,Espagne,750 ml,"80,00 $",80.0
6986,Hacker-Pschorr Weisse,Inconnue,http://www.saq.com/page/fr/saqcom/biere-ale/hacker-pschorr-weisse/11607351,http://s7d9.scene7.com/is/image/SAQ/11607351-1,Bière blanche de type Ale,Allemagne,500 ml,"3,20 $",3.2
6987,Hakushika Goka Sennen Junmai Dai-Ginjo sake,Inconnue,http://www.saq.com/page/fr/saqcom/sake-junmai-daiginjo/hakushika-goka-sennen-junmai-dai-ginjo-sake/10758771,http://s7d9.scene7.com/is/image/SAQ/10758771-1,Saké,Japon,720 ml,"50,75 $",50.75
6988,Hakushika Junmai Dai Ginjo,Inconnue,http://www.saq.com/page/fr/saqcom/sake-junmai-daiginjo/hakushika-junmai-dai-ginjo/11156561,http://s7d9.scene7.com/is/image/SAQ/11156561-1,Saké,Japon,300 ml,"18,45 $",18.45
6989,Hakushika Junmai Ginjo,Inconnue,http://www.saq.com/page/fr/saqcom/sake-junmai-ginjo/hakushika-junmai-ginjo/11156570,http://s7d9.scene7.com/is/image/SAQ/11156570-1,Saké,Japon,720 ml,"24,15 $",24.15
6990,Hakutsuru,Inconnue,http://www.saq.com/page/fr/saqcom/boisson-aromatisee-aux-petits-fruits/hakutsuru/11458543,http://s7d9.scene7.com/is/image/SAQ/11458543-1,Boisson aromatisée (prune),Japon,500 ml,"10,00 $",10.0
6991,Hakutsuru Draft,Inconnue,http://www.saq.com/page/fr/saqcom/sake-junmai/hakutsuru-draft/468173,http://s7d9.scene7.com/is/image/SAQ/468173-1,Saké,Japon,300 ml,"7,40 $",7.4
6992,Hakutsuru Sho-Une Junmai Dai Ginjo,Inconnue,http://www.saq.com/page/fr/saqcom/sake-ginjo/hakutsuru-sho-une-junmai-dai-ginjo/11458594,http://s7d9.scene7.com/is/image/SAQ/11458594-1,Saké,Japon,300 ml,"10,35 $",10.35
6993,Hakutsuru Supérieur Junmai Ginjo,Inconnue,http://www.saq.com/page/fr/saqcom/sake-junmai-ginjo/hakutsuru-superieur-junmai-ginjo/10757074,http://s7d9.scene7.com/is/image/SAQ/10757074-1,Saké,Japon,300 ml,"8,75 $",8.75
6994,"Halos de Jupiter, Châteauneuf-du-Pape Ad 2010",2010,http://www.saq.com/page/fr/saqcom/vin-rouge/halos-de-jupiter-chateauneuf-du-pape-ad-2010/12041758,http://s7d9.scene7.com/is/image/SAQ/12041758-1,Vin rouge,France,750 ml,"61,50 $",61.5
6995,Hamilton Russel Vineyard Pinot Noir 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/hamilton-russel-vineyard-pinot-noir-2012/11155737,http://s7d9.scene7.com/is/image/SAQ/11155737-1,Vin rouge,Afrique du Sud,750 ml,"47,25 $",47.25
6996,Hammer and Sickle Premium Vodka,Inconnue,http://www.saq.com/page/fr/saqcom/vodka/hammer-and-sickle-premium-vodka/12260504,http://s7d9.scene7.com/is/image/SAQ/12260504-1,Vodka,Russie,1 L,"55,00 $",55.0
6997,Hans Reisetbauer Blue Gin,Inconnue,http://www.saq.com/page/fr/saqcom/dry-gin/hans-reisetbauer-blue-gin/12163624,http://s7d9.scene7.com/is/image/SAQ/12163624-1,Dry gin,Autriche,700 ml,"54,00 $",54.0
6998,Hardy Noces d'Or Grande Champagne,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/hardy-noces-dor-grande-champagne/10685331,http://s7d9.scene7.com/is/image/SAQ/10685331-1,Cognac,France,750 ml,"308,00 $",308.0
6999,Hardy Noces de Diamant Grande Champagne,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/hardy-noces-de-diamant-grande-champagne/10994184,http://s7d9.scene7.com/is/image/SAQ/10994184-1,Cognac,France,750 ml,"1 370,00 $",1370.0
7000,Hardy Organic VSOP,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-vsop/hardy-organic-vsop/12308432,http://s7d9.scene7.com/is/image/SAQ/12308432-1,Cognac,France,700 ml,"79,00 $",79.0
7001,Hardy Perfection Grande Champagne,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/hardy-perfection-grande-champagne/10685365,http://s7d9.scene7.com/is/image/SAQ/10685365-1,Cognac,France,750 ml,"9 615,25 $",9615.25
7002,Hardy V.S.O.P.,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-vsop/hardy-vsop/11092385,http://s7d9.scene7.com/is/image/SAQ/11092385-1,Cognac,France,700 ml,"66,50 $",66.5
7003,Hardy's Chronicle No. 3 Butcher's Gold,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/hardys-chronicle-no-3-butchers-gold/11676364,http://s7d9.scene7.com/is/image/SAQ/11676364-1,Vin rouge,Australie,750 ml,"17,50 $",17.5
7004,Hart Brothers 17 ans Port Finish Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-blended-malt/hart-brothers-17-ans-port-finish-scotch-single-malt/12361129,http://s7d9.scene7.com/is/image/SAQ/12361129-1,Whisky écossais,Royaume Uni,700 ml,"118,00 $",118.0
7005,Hart Brothers 17 ans Sherry Finish Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-blended-malt/hart-brothers-17-ans-sherry-finish-scotch-single-malt/12361090,http://s7d9.scene7.com/is/image/SAQ/12361090-1,Whisky écossais,Royaume Uni,700 ml,"118,00 $",118.0
7006,Hartenberg Estate Sauvignon blanc 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/hartenberg-estate-sauvignon-blanc-2012/12258949,http://s7d9.scene7.com/is/image/SAQ/12258949-1,Vin blanc,Afrique du Sud,750 ml,"20,20 $",20.2
7007,Hartenberg The Stork Shiraz 2005,2005,http://www.saq.com/page/fr/saqcom/vin-rouge/hartenberg-the-stork-shiraz-2005/11056966,http://s7d9.scene7.com/is/image/SAQ/11056966-1,Vin rouge,Afrique du Sud,750 ml,"74,75 $",74.75
7008,Hartenberg wine estate Riesling 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/hartenberg-wine-estate-riesling-2012/12131462,http://s7d9.scene7.com/is/image/SAQ/12131462-1,Vin blanc,Afrique du Sud,750 ml,"19,95 $",19.95
7009,Hatzidakis Assyrtiko Cuvée 15 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/hatzidakis-assyrtiko-cuvee-15-2013/11901189,http://s7d9.scene7.com/is/image/SAQ/11901189-1,Vin blanc,Grèce,750 ml,"35,00 $",35.0
7010,Hatzidakis Santorini Assyrtiko 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/hatzidakis-santorini-assyrtiko-2013/11901171,http://s7d9.scene7.com/is/image/SAQ/11901171-1,Vin blanc,Grèce,750 ml,"25,20 $",25.2
7011,Hazelburn 12 ans Campbeltown Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-single-malt/hazelburn-12-ans-campbeltown-scotch-single-malt/11823483,http://s7d9.scene7.com/is/image/SAQ/11823483-1,Whisky écossais,Royaume Uni,700 ml,"126,00 $",126.0
7012,HC Heredad Candela Monastrell 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/hc-heredad-candela-monastrell-2011/10910913,http://s7d9.scene7.com/is/image/SAQ/10910913-1,Vin rouge,Espagne,750 ml,"24,95 $",24.95
7013,Hecht & Bannier Saint-Chinian 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/hecht--bannier-saint-chinian-2011/10507323,http://s7d9.scene7.com/is/image/SAQ/10507323-1,Vin rouge,France,750 ml,"25,95 $",25.95
7014,Hedges C.M.S. Cabernet-Sauvignon / Merlot / Syrah 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/hedges-cms-cabernet-sauvignon--merlot--syrah-2011/10354478,http://s7d9.scene7.com/is/image/SAQ/10354478-1,Vin rouge,États-Unis,750 ml,"20,05 $",20.05
7015,Heinrich Blaufränkisch 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/heinrich-blaufrankisch-2013/10768478,http://s7d9.scene7.com/is/image/SAQ/10768478-1,Vin rouge,Autriche,750 ml,"23,15 $",23.15
7016,Heinrich St-Laurent 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/heinrich-st-laurent-2012/11375684,http://s7d9.scene7.com/is/image/SAQ/11375684-1,Vin rouge,Autriche,750 ml,"29,95 $",29.95
7017,Hendrick's,Inconnue,http://www.saq.com/page/fr/saqcom/dry-gin/hendricks/10254012,http://s7d9.scene7.com/is/image/SAQ/10254012-1,Dry gin,Royaume Uni,750 ml,"46,25 $",46.25
7018,Henkell,Inconnue,http://www.saq.com/page/fr/saqcom/vin-mousseux-rose/henkell/11369111,http://s7d9.scene7.com/is/image/SAQ/11369111-1,Vin mousseux rosé,Allemagne,750 ml,"15,40 $",15.4
7019,Henkell Trocken,Inconnue,http://www.saq.com/page/fr/saqcom/vin-mousseux/henkell-trocken/147694,http://s7d9.scene7.com/is/image/SAQ/147694-1,Vin mousseux,Allemagne,3 L,"81,00 $",81.0
7020,Henkes,Inconnue,http://www.saq.com/page/fr/saqcom/liqueur-de-fruit/henkes/177956,http://s7d9.scene7.com/is/image/SAQ/177956-1,Liqueur de fruit (melon),Canada,750 ml,"24,50 $",24.5
7021,Hennessy Black,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-vs/hennessy-black/11459394,http://s7d9.scene7.com/is/image/SAQ/11459394-1,Cognac,France,750 ml,"83,00 $",83.0
7022,Hennessy Paradis Impérial Grande Champagne,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/hennessy-paradis-imperial-grande-champagne/11584902,http://s7d9.scene7.com/is/image/SAQ/11584902-1,Cognac,France,700 ml,"3 315,00 $",3315.0
7023,Hennessy Richard,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/hennessy-richard/11285275,http://s7d9.scene7.com/is/image/SAQ/11285275-1,Cognac,France,750 ml,"4 779,00 $",4779.0
7024,Hennessy V.S.,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-vs/hennessy-vs/95216,http://s7d9.scene7.com/is/image/SAQ/95216-1,Cognac,France,50 ml,"6,10 $",6.1
7025,Hennessy X.O.,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/hennessy-xo/11527676,http://s7d9.scene7.com/is/image/SAQ/11527676-1,Cognac,France,"1,5 L","475,00 $",475.0
7026,Henri Abelé Brut,Inconnue,http://www.saq.com/page/fr/saqcom/champagne/henri-abele-brut/11469568,http://s7d9.scene7.com/is/image/SAQ/11469568-1,Champagne,France,750 ml,"49,50 $",49.5
7027,Henri Abelé Sourire de Reims 2002,2002,http://www.saq.com/page/fr/saqcom/champagne-rose/henri-abele-sourire-de-reims-2002/12482916,http://s7d9.scene7.com/is/image/SAQ/12482916-1,Champagne rosé,France,750 ml,"179,00 $",179.0
7028,Henri Bardouin,Inconnue,http://www.saq.com/page/fr/saqcom/pastis/henri-bardouin/709907,http://s7d9.scene7.com/is/image/SAQ/709907-1,Alcool anisé - Pastis,France,700 ml,"37,50 $",37.5
7029,Henri Begey X.O.,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/henri-begey-xo/12029329,http://s7d9.scene7.com/is/image/SAQ/12029329-1,Cognac,France,700 ml,"262,00 $",262.0
7030,Henri Boillot Corton Charlemagne grand cru 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/henri-boillot-corton-charlemagne-grand-cru-2012/11714084,http://s7d9.scene7.com/is/image/SAQ/11714084-1,Vin blanc,France,750 ml,"156,00 $",156.0
7031,Henri Boillot Volnay 1er cru Les Chevrets 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/henri-boillot-volnay-1er-cru-les-chevrets-2011/12054209,http://s7d9.scene7.com/is/image/SAQ/12054209-1,Vin rouge,France,750 ml,"88,00 $",88.0
7032,Henri Bourgeois Etienne Henri 2011,2011,http://www.saq.com/page/fr/saqcom/vin-blanc/henri-bourgeois-etienne-henri-2011/10322185,http://s7d9.scene7.com/is/image/SAQ/10322185-1,Vin blanc,France,750 ml,"66,00 $",66.0
7033,Henri Bourgeois Jadis Sancerre 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/henri-bourgeois-jadis-sancerre-2012/10322142,http://s7d9.scene7.com/is/image/SAQ/10322142-1,Vin blanc,France,750 ml,"58,00 $",58.0
7034,Henri Bourgeois La Côte des Monts Damnés 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/henri-bourgeois-la-cote-des-monts-damnes-2012/11395917,http://s7d9.scene7.com/is/image/SAQ/11395917-1,Vin blanc,France,750 ml,"39,75 $",39.75
7035,Henri Bourgeois Sancerre La Porte du Caillou 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/henri-bourgeois-sancerre-la-porte-du-caillou-2011/11153985,http://s7d9.scene7.com/is/image/SAQ/11153985-1,Vin rouge,France,750 ml,"28,00 $",28.0
7036,Henri Gouges Nuits-Saint-George 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/henri-gouges-nuits-saint-george-2011/12026961,http://s7d9.scene7.com/is/image/SAQ/12026961-1,Vin rouge,France,750 ml,"48,25 $",48.25
7037,Henri Gouges Nuits-Saint-George 1er cru Les Pruliers 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/henri-gouges-nuits-saint-george-1er-cru-les-pruliers-2011/12026970,http://s7d9.scene7.com/is/image/SAQ/12026970-1,Vin rouge,France,750 ml,"75,00 $",75.0
7038,Henri Mounier V.S.,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-vs/henri-mounier-vs/346205,http://s7d9.scene7.com/is/image/SAQ/346205-1,Cognac,France,"1,14 L","54,00 $",54.0
7039,Henriot Blanc de Blancs Brut,Inconnue,http://www.saq.com/page/fr/saqcom/champagne/henriot-blanc-de-blancs-brut/10796946,http://s7d9.scene7.com/is/image/SAQ/10796946-1,Champagne,France,750 ml,"74,25 $",74.25
7040,Henriot Brut,Inconnue,http://www.saq.com/page/fr/saqcom/champagne-rose/henriot-brut/10839635,http://s7d9.scene7.com/is/image/SAQ/10839635-1,Champagne rosé,France,750 ml,"74,50 $",74.5
7041,Henriot Brut 2000,2000,http://www.saq.com/page/fr/saqcom/champagne/henriot-brut-2000/11547415,http://s7d9.scene7.com/is/image/SAQ/11547415-1,Champagne,France,"1,5 L","236,00 $",236.0
7042,Henriot Brut 2008,2008,http://www.saq.com/page/fr/saqcom/champagne-rose/henriot-brut-2008/12344548,http://s7d9.scene7.com/is/image/SAQ/12344548-1,Champagne rosé,France,750 ml,"99,00 $",99.0
7043,Henriot Cuvée des Enchanteleurs 1996,1996,http://www.saq.com/page/fr/saqcom/champagne/henriot-cuvee-des-enchanteleurs-1996/11552901,http://s7d9.scene7.com/is/image/SAQ/11552901-1,Champagne,France,750 ml,"216,00 $",216.0
7044,Henry Fessy Moulin-à-Vent 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/henry-fessy-moulin-a-vent-2011/11589818,http://s7d9.scene7.com/is/image/SAQ/11589818-1,Vin rouge,France,750 ml,"22,70 $",22.7
7045,Henry Marionnet Vinifera Gamay 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/henry-marionnet-vinifera-gamay-2013/11844591,http://s7d9.scene7.com/is/image/SAQ/11844591-1,Vin rouge,France,750 ml,"25,15 $",25.15
7046,Henry of Pelham Icewine Riesling Short Hills Bench 2013,2013,http://www.saq.com/page/fr/saqcom/vin-de-glace/henry-of-pelham-icewine-riesling-short-hills-bench-2013/430561,http://s7d9.scene7.com/is/image/SAQ/430561-1,Vin de glace,Canada,375 ml,"50,75 $",50.75
7047,Henry of Pelham Reserve Short Hills Bench Riesling 2011,2011,http://www.saq.com/page/fr/saqcom/vin-blanc/henry-of-pelham-reserve-short-hills-bench-riesling-2011/283291,http://s7d9.scene7.com/is/image/SAQ/283291-1,Vin blanc,Canada,750 ml,"17,25 $",17.25
7048,Henschke Julius Eden Valley Riesling 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/henschke-julius-eden-valley-riesling-2012/10825858,http://s7d9.scene7.com/is/image/SAQ/10825858-1,Vin blanc,Australie,750 ml,"46,25 $",46.25
7049,Herdade da Malhadinha Nova Malhadinha tinto 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/herdade-da-malhadinha-nova-malhadinha-tinto-2010/12154517,http://s7d9.scene7.com/is/image/SAQ/12154517-1,Vin rouge,Portugal,750 ml,"53,00 $",53.0
7050,Herdade Do Peso Colheita Alentejo 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/herdade-do-peso-colheita-alentejo-2012/10660740,http://s7d9.scene7.com/is/image/SAQ/10660740-1,Vin rouge,Portugal,750 ml,"20,45 $",20.45
7051,Herederos Del Marqués De Riscal 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/herederos-del-marques-de-riscal-2013/10270725,http://s7d9.scene7.com/is/image/SAQ/10270725-1,Vin blanc,Espagne,750 ml,"16,10 $",16.1
7052,Herederos del Marqués de Riscal Vina Collada 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/herederos-del-marques-de-riscal-vina-collada-2011/11469761,http://s7d9.scene7.com/is/image/SAQ/11469761-1,Vin rouge,Espagne,750 ml,"17,40 $",17.4
7053,Hermon Mount Hermon 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/hermon-mount-hermon-2012/10236682,http://s7d9.scene7.com/is/image/SAQ/10236682-1,Vin rouge,Israël,750 ml,"22,25 $",22.25
7054,Herradura Reposado,Inconnue,http://www.saq.com/page/fr/saqcom/tequila-doree/herradura-reposado/12270577,http://s7d9.scene7.com/is/image/SAQ/12270577-1,Téquila,Mexique,750 ml,"75,25 $",75.25
7055,Herzog Special Reserve Cabernet-Sauvignon 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/herzog-special-reserve-cabernet-sauvignon-2012/10348326,http://s7d9.scene7.com/is/image/SAQ/10348326-1,Vin rouge,États-Unis,750 ml,"44,75 $",44.75
7056,Hess Allomi Cabernet Sauvignon Napa-Valley 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/hess-allomi-cabernet-sauvignon-napa-valley-2012/12198991,http://s7d9.scene7.com/is/image/SAQ/12198991-1,Vin rouge,États-Unis,750 ml,"34,00 $",34.0
7057,Hewitson Miss Harry Grenache / Shiraz / Mourvèdre 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/hewitson-miss-harry-grenache--shiraz--mourvedre-2010/10256093,http://s7d9.scene7.com/is/image/SAQ/10256093-1,Vin rouge,Australie,750 ml,"24,70 $",24.7
7058,Heymann-Löwenstein Von Blauem Schiefer Mosel Riesling 2011,2011,http://www.saq.com/page/fr/saqcom/vin-blanc/heymann-lowenstein-von-blauem-schiefer-mosel-riesling-2011/11858707,http://s7d9.scene7.com/is/image/SAQ/11858707-1,Vin blanc,Allemagne,750 ml,"33,25 $",33.25
7059,Hidden Bench La Brunante 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/hidden-bench-la-brunante-2010/12309321,http://s7d9.scene7.com/is/image/SAQ/12309321-1,Vin rouge,Canada,750 ml,"84,00 $",84.0
7060,Hidden Bench Nuit Blanche 2011,2011,http://www.saq.com/page/fr/saqcom/vin-blanc/hidden-bench-nuit-blanche-2011/12309443,http://s7d9.scene7.com/is/image/SAQ/12309443-1,Vin blanc,Canada,750 ml,"44,00 $",44.0
7061,High West  Double Rye,Inconnue,http://www.saq.com/page/fr/saqcom/whiskey-americain/high-west--double-rye/11864285,http://s7d9.scene7.com/is/image/SAQ/11864285-1,Whiskey américain,États-Unis,750 ml,"76,50 $",76.5
7062,High West American Prairie Reserve Bourbon,Inconnue,http://www.saq.com/page/fr/saqcom/whiskey-americain/high-west-american-prairie-reserve-bourbon/11961165,http://s7d9.scene7.com/is/image/SAQ/11961165-1,Whiskey américain,États-Unis,750 ml,"87,75 $",87.75
7063,High West Rendez-Vous,Inconnue,http://www.saq.com/page/fr/saqcom/whiskey-americain/high-west-rendez-vous/11207795,http://s7d9.scene7.com/is/image/SAQ/11207795-1,Whiskey américain,États-Unis,750 ml,"97,00 $",97.0
7064,High West Silver OMG Pure Rye,Inconnue,http://www.saq.com/page/fr/saqcom/whiskey-americain/high-west-silver-omg-pure-rye/11961173,http://s7d9.scene7.com/is/image/SAQ/11961173-1,Whiskey américain,États-Unis,750 ml,"78,00 $",78.0
7065,High West Silver Western Oat,Inconnue,http://www.saq.com/page/fr/saqcom/whiskey-americain/high-west-silver-western-oat/11485103,http://s7d9.scene7.com/is/image/SAQ/11485103-1,Whiskey américain,États-Unis,750 ml,"69,00 $",69.0
7066,High West Son of Bourye,Inconnue,http://www.saq.com/page/fr/saqcom/whiskey-americain/high-west-son-of-bourye/12167975,http://s7d9.scene7.com/is/image/SAQ/12167975-1,Whiskey américain,États-Unis,750 ml,"88,00 $",88.0
7067,Highland Harvest Organic Sauternes Finish Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-single-malt/highland-harvest-organic-sauternes-finish-scotch-single-malt/12361508,http://s7d9.scene7.com/is/image/SAQ/12361508-1,Whisky écossais,Royaume Uni,700 ml,"77,00 $",77.0
7068,Highland Park 18 ans Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-single-malt/highland-park-18-ans-scotch-single-malt/10224286,http://s7d9.scene7.com/is/image/SAQ/10224286-1,Whisky écossais,Royaume Uni,750 ml,"180,25 $",180.25
7069,Highland Park 25 ans Orkney Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-single-malt/highland-park-25-ans-orkney-scotch-single-malt/500249,http://s7d9.scene7.com/is/image/SAQ/500249-1,Whisky écossais,Royaume Uni,750 ml,"350,25 $",350.25
7070,Highwood Coyote Ugly,Inconnue,http://www.saq.com/page/fr/saqcom/whisky-canadien/highwood-coyote-ugly/11863995,http://s7d9.scene7.com/is/image/SAQ/11863995-1,Whisky canadien,Canada,750 ml,"38,75 $",38.75
7071,Hill's Absinthe,Inconnue,http://www.saq.com/page/fr/saqcom/absinthe/hills-absinthe/587204,http://s7d9.scene7.com/is/image/SAQ/587204-1,Absinthe,République Tchèque,700 ml,"65,00 $",65.0
7072,Hine Triomphe Grande Champagne,Inconnue,http://www.saq.com/page/fr/saqcom/cognac-xo/hine-triomphe-grande-champagne/12029281,http://s7d9.scene7.com/is/image/SAQ/12029281-1,Cognac,France,700 ml,"903,00 $",903.0
7073,Hirsch Heiligenstein Grüner Veltliner 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/hirsch-heiligenstein-gruner-veltliner-2013/11695055,http://s7d9.scene7.com/is/image/SAQ/11695055-1,Vin blanc,Autriche,750 ml,"28,65 $",28.65
7074,Hirsch Zöbing Riesling Kamptal 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/hirsch-zobing-riesling-kamptal-2012/12196979,http://s7d9.scene7.com/is/image/SAQ/12196979-1,Vin blanc,Autriche,750 ml,"27,15 $",27.15
7075,Homare Honjozo Yukihyakubai Namchozo-shu,Inconnue,http://www.saq.com/page/fr/saqcom/sake-ginjo/homare-honjozo-yukihyakubai-namchozo-shu/12257743,http://s7d9.scene7.com/is/image/SAQ/12257743-1,Saké,Japon,300 ml,"8,45 $",8.45
7076,Hospices de Beaune Monthelie-les-Duresse 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/hospices-de-beaune-monthelie-les-duresse-2011/11959971,http://s7d9.scene7.com/is/image/SAQ/11959971-1,Vin rouge,France,"1,5 L","109,00 $",109.0
7077,"Hospices de Beaune Pouilly-Fuissé, Hospi 2011",2011,http://www.saq.com/page/fr/saqcom/vin-blanc/hospices-de-beaune-pouilly-fuisse-hospi-2011/11960007,http://s7d9.scene7.com/is/image/SAQ/11960007-1,Vin blanc,France,"1,5 L","129,00 $",129.0
7078,"Hospices de Beaune, Pouilly-Fuissé Cuvée 2012",2012,http://www.saq.com/page/fr/saqcom/vin-blanc/hospices-de-beaune-pouilly-fuisse-cuvee-2012/11984931,http://s7d9.scene7.com/is/image/SAQ/11984931-1,Vin blanc,France,"1,5 L","171,00 $",171.0
7079,"Hospices de Beaune, Pouilly-Fuissé Cuvée 2012",2012,http://www.saq.com/page/fr/saqcom/vin-blanc/hospices-de-beaune-pouilly-fuisse-cuvee-2012/11984949,http://s7d9.scene7.com/is/image/SAQ/11984949-1,Vin blanc,France,750 ml,"85,00 $",85.0
7080,"Hospices de Beaune, Pouilly-Fuissé Cuvée 2012",2012,http://www.saq.com/page/fr/saqcom/vin-blanc/hospices-de-beaune-pouilly-fuisse-cuvee-2012/11984957,http://s7d9.scene7.com/is/image/SAQ/11984957-1,Vin blanc,France,3 L,"490,00 $",490.0
7081,Houblon Chouffe Dobbelen IPA Tripel,Inconnue,http://www.saq.com/page/fr/saqcom/biere-ale/houblon-chouffe-dobbelen-ipa-tripel/11106804,http://s7d9.scene7.com/is/image/SAQ/11106804-1,Bière blonde de type Ale,Belgique,750 ml,"8,20 $",8.2
7082,Howard Park Scotsdale Cabernet-Sauvignon 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/howard-park-scotsdale-cabernet-sauvignon-2011/11624716,http://s7d9.scene7.com/is/image/SAQ/11624716-1,Vin rouge,Australie,750 ml,"39,00 $",39.0
7083,Hoya de Cadenas Reserva Privada,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/hoya-de-cadenas-reserva-privada/11133108,http://s7d9.scene7.com/is/image/SAQ/11133108-1,Vin rouge,Espagne,750 ml,"16,65 $",16.65
7084,Hpnotiq,Inconnue,http://www.saq.com/page/fr/saqcom/boisson-aux-fruits/hpnotiq/10540529,http://s7d9.scene7.com/is/image/SAQ/10540529-1,Boisson aux fruits (fruit ex...,France,750 ml,"33,25 $",33.25
7085,Hpnotiq,Inconnue,http://www.saq.com/page/fr/saqcom/boisson-aux-fruits/hpnotiq/11253708,http://s7d9.scene7.com/is/image/SAQ/11253708-1,Boisson aux fruits (fruit ex...,France,375 ml,"18,20 $",18.2
7086,Hugel Gewurztraminer Sélection de grains nobles 2007,2007,http://www.saq.com/page/fr/saqcom/vin-blanc/hugel-gewurztraminer-selection-de-grains-nobles-2007/12025387,http://s7d9.scene7.com/is/image/SAQ/12025387-1,Vin blanc,France,375 ml,"139,00 $",139.0
7087,Hugel Hommage à Jean Hugel 3 magnums Gewurztraminer / Riesling / Pinot Gris 1998,1998,http://www.saq.com/page/fr/saqcom/vin-blanc/hugel-hommage-a-jean-hugel-3-magnums-gewurztraminer--riesling--pinot-gris-1998/11026783,http://s7d9.scene7.com/is/image/SAQ/11026783-1,Vin blanc,France,"4,5 L","361,25 $",361.25
7088,Hugel Pinot Noir 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/hugel-pinot-noir-2011/744748,http://s7d9.scene7.com/is/image/SAQ/744748-1,Vin rouge,France,750 ml,"21,95 $",21.95
