Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité en ml),Inventaire (cents),Inventaire ($)
353300,Mike's Hard Lemonade Variety 12 Pk-B,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",3960,27.95,2825,11187000,7895875,"78 958,75 $"
351429,Amsterdam Boneshaker,Beer,Ale,"Canada, Ontario",473,3.0,23635,11179355,7090500,"70 905,00 $"
112979,Bacardi Superior Rum,Spirits,Rum,"Puerto Rico, Region Not Specified",750,26.45,14884,11163000,37879780,"378 797,80 $"
240101,Lamb's Palm Breeze Rum,Spirits,Rum,"Canada, Region Not Specified",1140,39.15,9745,11109300,37177175,"371 771,75 $"
902056,Carling Old Vienna,Beer,Lager,"Canada, Ontario",8184,32.95,1357,11105688,4471315,"44 713,15 $"
272716,Stolichnaya Vodka,Spirits,Vodka,"Latvia, Region Not Specified",1750,58.95,6346,11105500,36267390,"362 673,90 $"
669457,French Cross Shiraz Bag in Box,Wine,Red Wine,"Canada, Region Not Specified",4000,41.95,2766,11064000,11603370,"116 033,70 $"
214049,Girls' Night Out Strawberry Samba,Wine,Specialty Wines,"Canada, Ontario",1500,12.95,7368,11052000,8804760,"88 047,60 $"
257170,Cono Sur Tocornal Cabernet Sauvignon Merlot,Wine,Red Wine,"Chile, Region Not Specified",1500,13.95,7342,11013000,10242090,"102 420,90 $"
550715,Forty Creek Barrel Select Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",750,27.35,14555,10916250,38352425,"383 524,25 $"
238436,Growers Granny Smith Apple Cider,Ciders,Cider,"Canada, Ontario",1980,11.45,5497,10884060,6294065,"62 940,65 $"
321885,Smirnoff Ice Tall Can,Ready-to-Drink/Coolers,Coolers,"USA, Region Not Specified",473,2.95,22976,10867648,6777920,"67 779,20 $"
904334,Budweiser,Beer,Lager,"Canada, Ontario",2130,12.5,5088,10837440,6360000,"63 600,00 $"
697292,Bacardi Breezer Pina Colada,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,8174,10789680,7307556,"73 075,56 $"
226860,Wolf Blass Yellow Label Chardonnay,Wine,White Wine,"Australia, Region Not Specified",750,14.95,14379,10784250,18620805,"186 208,05 $"
218131,Labatt Blue,Beer,Lager,"Canada, Ontario",5115,23.5,2102,10751730,4939700,"49 397,00 $"
385674,Side Launch Wheat Beer,Beer,Ale,"Canada, Ontario",473,2.7,22710,10741830,6131700,"61 317,00 $"
48140,Fontana Di Papa Colli Albani,Wine,White Wine,"Italy, Lazio",2000,16.45,5364,10728000,8823780,"88 237,80 $"
614909,Kozel Beer,Beer,Lager,"Czech Republic, Region Not Specified",500,2.2,21433,10716500,4715260,"47 152,60 $"
68536,Sawmill Creek Chardonnay,Wine,White Wine,"Canada, Region Not Specified",4000,37.95,2679,10716000,10166805,"101 668,05 $"
623322,French Cross Sauvignon Blanc,Wine,White Wine,"Canada, Region Not Specified",4000,38.95,2676,10704000,9620220,"96 202,20 $"
422360,The Creemore Collection 2015,Beer,Gift and Sampler Packs,"Canada, Ontario",2838,16.75,3771,10702098,6316425,"63 164,25 $"
113001,Beringer California Collection Cabernet Sauvignon,Wine,Red Wine,"USA, California",750,9.94,14245,10683750,14159530,"141 595,30 $"
249433,Spaten Original Munich Beer,Beer,Lager,"Germany, Region Not Specified",500,2.15,21326,10663000,4585090,"45 850,90 $"
407817,Coors Altitude,Beer,Lager,"Canada, Ontario",1892,10.95,5629,10650068,5595226,"55 952,26 $"
893,Wiser's Deluxe Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",750,27.45,14187,10640250,38943315,"389 433,15 $"
383711,Jackson-Triggs Merlot,Wine,Red Wine,"Canada, Ontario",750,10.1,14156,10617000,12740400,"127 404,00 $"
128348,Bud Light Lime,Beer,Lager,"United Kingdom, England",1980,13.25,5362,10616760,7104650,"71 046,50 $"
917799,Carling,Beer,Lager,"Canada, Ontario",4092,18.95,2594,10614648,4915630,"49 156,30 $"
106377,Jacob's Creek Shiraz Cabernet Sauvignon,Wine,Red Wine,"Australia, Region Not Specified",750,12.95,13986,10489500,16713270,"167 132,70 $"
616029,Carling Light,Beer,Lager,"Canada, Ontario",8520,36.95,1228,10462560,4537460,"45 374,60 $"
216671,Wisers Special Blend,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",1140,38.15,9098,10371720,34708870,"347 088,70 $"
240,Smirnoff Vodka,Spirits,Vodka,"Canada, Region Not Specified",375,14.55,27546,10329750,40079430,"400 794,30 $"
240150,Polar Ice Vodka,Spirits,Vodka,"Canada, Region Not Specified",1140,38.15,9040,10305600,34487600,"344 876,00 $"
410076,Woody's Mojito Cocktail,Ready-to-Drink/Coolers,Coolers,"United Kingdom, England",1320,9.85,7787,10278840,6891495,"68 914,95 $"
155051,Masi Campofiorin IGT,Wine,Red Wine,"Italy, Veneto",750,19.95,13699,10274250,24589705,"245 897,05 $"
33340,Collavini Pinot Grigio,Wine,White Wine,"Italy, Veneto",750,14.95,13690,10267500,19097550,"190 975,50 $"
178343,Smirnoff Classic Caesar,Ready-to-Drink/Coolers,Coolers,"USA, Region Not Specified",1320,9.94,7748,10227360,7701512,"77 015,12 $"
26278,Folonari Valpolicella Classico,Wine,Red Wine,"Italy, Veneto",1500,21.95,6818,10227000,14965510,"149 655,10 $"
334037,Innis & Gunn Original,Beer,Ale,"United Kingdom, Scotland",500,2.95,20357,10178500,6005315,"60 053,15 $"
374546,Growers Honeycrisp Apple,Ciders,Cider,"Canada, Ontario",473,2.95,21464,10152472,5687960,"56 879,60 $"
413765,Mill Street 100Th Meridian Organic Amber Lager,Beer,Lager,"Canada, Ontario",473,2.95,21439,10140647,6324505,"63 245,05 $"
229583,Kronenbourg 1664 Blanc,Beer,Ale,"France, Region Not Specified",1980,13.9,5100,10098000,6579000,"65 790,00 $"
572891,Sola Nero White,Wine,White Wine,"Canada, Region Not Specified",1500,13.45,6731,10096500,9053195,"90 531,95 $"
286187,Concha Y Toro Frontera Cabernet Sauvignon,Wine,Red Wine,"Chile, Region Not Specified",1500,13.85,6715,10072500,9300275,"93 002,75 $"
78840,Citra Montepulciano D'Abruzzo,Wine,Red Wine,"Italy, Abruzzo",1500,12.95,6709,10063500,8688155,"86 881,55 $"
172635,Keystone Light,Beer,Lager,"Canada, Ontario",8184,32.95,1225,10025400,4036375,"40 363,75 $"
407148,Sage Crazy Beard Apple Ale,Ready-to-Drink/Coolers,Coolers,"Canada, Ontario",473,2.95,21159,10008207,6241905,"62 419,05 $"
